technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag
COMBINED,none,VSM,LSI,GLOBAL,PCA,PCA,0.43174702797611075,0.8407245471580262,255.0
COMBINED,none,VSM,LSI,GLOBAL,PCA,SUM,0.39341792146915705,0.8139010340759248,297.94444444444446
COMBINED,none,VSM,LSI,GLOBAL,PCA,MAX,0.2935635797046055,0.7208897217017143,446.85555555555555
COMBINED,none,VSM,LSI,GLOBAL,SUM,PCA,0.2538770904784536,0.7444999652994657,409.05555555555554
COMBINED,none,VSM,LSI,GLOBAL,SUM,SUM,0.2074113778014002,0.7095287667430079,465.0444444444444
COMBINED,none,VSM,LSI,GLOBAL,SUM,MAX,0.17440247079132581,0.6610937608439171,542.5888888888888
COMBINED,none,VSM,LSI,GLOBAL,MAX,PCA,0.47338798902360724,0.868658477340551,210.27777777777777
COMBINED,none,VSM,LSI,GLOBAL,MAX,SUM,0.43740477534553807,0.8513567908945797,237.9777777777778
COMBINED,none,VSM,LSI,GLOBAL,MAX,MAX,0.372719530214691,0.7783329863279894,354.8888888888889
COMBINED,none,VSM,VSM,INDEPENDENT,PCA,PCA,0.4966228173427638,0.8820737039350406,188.8
COMBINED,none,VSM,VSM,INDEPENDENT,PCA,SUM,0.47334020143329797,0.8859671038934,182.56666666666666
COMBINED,none,VSM,VSM,INDEPENDENT,PCA,MAX,0.4856531933153946,0.8948088000555208,168.4111111111111
COMBINED,none,VSM,VSM,INDEPENDENT,SUM,PCA,0.4656224394724375,0.8711916163508918,206.22222222222223
COMBINED,none,VSM,VSM,INDEPENDENT,SUM,SUM,0.3987709041870929,0.859428135193282,225.05555555555554
COMBINED,none,VSM,VSM,INDEPENDENT,SUM,MAX,0.3859163593360397,0.863682420709279,218.24444444444444
COMBINED,none,VSM,VSM,INDEPENDENT,MAX,PCA,0.4841840644565464,0.8699979179679368,208.13333333333333
COMBINED,none,VSM,VSM,INDEPENDENT,MAX,SUM,0.479257588997804,0.871892567145534,205.1
COMBINED,none,VSM,VSM,INDEPENDENT,MAX,MAX,0.48732760721677865,0.8805677007425915,191.2111111111111
COMBINED,none,VSM,VSM,GLOBAL,PCA,PCA,0.4966228173427638,0.8820737039350406,188.8
COMBINED,none,VSM,VSM,GLOBAL,PCA,SUM,0.47334020143329797,0.8859671038934,182.56666666666666
COMBINED,none,VSM,VSM,GLOBAL,PCA,MAX,0.48565319331539464,0.8948088000555209,168.4111111111111
COMBINED,none,VSM,VSM,GLOBAL,SUM,PCA,0.4686991120702257,0.8714553404122423,205.8
COMBINED,none,VSM,VSM,GLOBAL,SUM,SUM,0.411141845286164,0.8623915608300368,220.3111111111111
COMBINED,none,VSM,VSM,GLOBAL,SUM,MAX,0.3987969513559272,0.8688736206537581,209.93333333333334
COMBINED,none,VSM,VSM,GLOBAL,MAX,PCA,0.4837223650232775,0.8699146366854049,208.26666666666668
COMBINED,none,VSM,VSM,GLOBAL,MAX,SUM,0.4833884526359997,0.8718786869317787,205.12222222222223
COMBINED,none,VSM,VSM,GLOBAL,MAX,MAX,0.48443144601323773,0.8799569713373586,192.1888888888889
COMBINED,upper,LSI,LSI,INDEPENDENT,PCA,PCA,0.5478303679455816,0.8449302519258796,248.26666666666668
COMBINED,upper,LSI,LSI,INDEPENDENT,PCA,SUM,0.5271638587167283,0.833243111943924,266.97777777777776
COMBINED,upper,LSI,LSI,INDEPENDENT,PCA,MAX,0.5463266701231781,0.8409258102574779,253.04444444444445
