technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag,name
COMBINED,lower,VSM,LSI,GLOBAL,SUM,MAX,0.9330103291141938,0.9439636283961437,25.104294478527606,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,PCA,SUM,0.9699490627447279,0.9657681036371604,15.335889570552148,(o (SUM) ((. (VSM NT) (0 2)) (x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,SUM,SUM,0.9244669586945935,0.9423545683610868,25.82515337423313,(o (SUM) ((. (VSM NT) (0 2)) (x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,MAX,MAX,0.9681646656213587,0.9638098433391762,16.21319018404908,(o (MAX) ((. (VSM NT) (0 2)) (x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,SUM,SUM,0.9288139361327579,0.9438540753724802,25.153374233128833,(o (SUM) ((. (VSM NT) (0 2)) (x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,MAX,PCA,0.9634962886439452,0.9644534673531989,15.924846625766872,(o (PCA) ((. (VSM NT) (0 2)) (x (MAX INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,SUM,MAX,0.9330103291141938,0.9439636283961437,25.104294478527606,(o (MAX) ((. (VSM NT) (0 2)) (x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,SUM,PCA,0.9337217105633115,0.9458979239702016,24.237730061349694,(o (PCA) ((. (VSM NT) (0 2)) (x (SUM INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,INDEPENDENT,PCA,MAX,0.9821902109352243,0.9768226884312008,10.383435582822086,(o (MAX) ((. (VSM NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,VSM,LSI,GLOBAL,MAX,PCA,0.9629898107167174,0.9641316553461876,16.069018404907975,(o (PCA) ((. (VSM NT) (0 2)) (x (MAX GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
