dataset,technique_type,query_index,metric,query_id,metric_score
TrainController,HYBRID,122,LAG_NORMALIZED_INVERTED,195,0.7521739130434782
TrainController,HYBRID,121,LAG_NORMALIZED_INVERTED,194,0.7187892976588629
TrainController,HYBRID,120,LAG_NORMALIZED_INVERTED,193,0.976
TrainController,HYBRID,119,LAG_NORMALIZED_INVERTED,192,0.986
TrainController,HYBRID,131,LAG_NORMALIZED_INVERTED,204,1.0
TrainController,DIRECT,24,AP,46,0.2688301418688708
TrainController,DIRECT,111,AP,184,0.5922980346444899
TrainController,DIRECT,112,AP,185,0.6096585074573972
TrainController,DIRECT,113,AP,186,0.6122814650610103
TrainController,DIRECT,55,AP,88,0.5439991288084074
TrainController,DIRECT,130,AP,203,1.0
TrainController,DIRECT,44,AP,68,0.007511007511007512
TrainController,DIRECT,117,AP,190,0.6297988478933032
TrainController,DIRECT,125,AP,198,0.5594617150534229
TrainController,DIRECT,115,AP,188,0.5430360773623724
TrainController,DIRECT,27,AP,49,0.29537168236922134
TrainController,DIRECT,29,AP,52,0.543588090804894
TrainController,DIRECT,14,AP,34,0.5336354836724051
TrainController,DIRECT,30,AP,53,0.5269771887100433
TrainController,DIRECT,31,AP,54,0.007575757575757576
TrainController,DIRECT,32,AP,55,0.027673493242617475
TrainController,DIRECT,116,AP,189,0.5722185135131044
TrainController,DIRECT,34,AP,57,0.015384615384615385
TrainController,HYBRID,127,LAG_NORMALIZED_INVERTED,200,0.7654983277591974
TrainController,DIRECT,35,AP,58,0.03333333333333333
TrainController,DIRECT,37,AP,60,0.0056179775280898875
TrainController,DIRECT,38,AP,61,0.3333333333333333
TrainController,DIRECT,39,AP,62,0.5330515878741096
TrainController,DIRECT,40,AP,63,0.5536003418962441
TrainController,DIRECT,15,AP,35,0.558251457139497
TrainController,DIRECT,13,AP,33,0.5296693297306638
TrainController,DIRECT,54,AP,87,0.5272455906493797
TrainController,DIRECT,53,AP,86,0.49373967850230066
TrainController,DIRECT,52,AP,80,0.4984582716860546
TrainController,DIRECT,26,AP,48,0.5131129578008025
TrainController,DIRECT,25,AP,47,0.5039603666207478
TrainController,DIRECT,33,AP,56,0.5836614986786768
TrainController,DIRECT,23,AP,45,0.532993550548858
TrainController,DIRECT,114,AP,187,0.596320224969135
TrainController,DIRECT,36,AP,59,0.0017152658662092624
TrainController,HYBRID,2,LAG_NORMALIZED_INVERTED,4,0.5016666666666667
TrainController,HYBRID,118,LAG_NORMALIZED_INVERTED,191,0.8170167224080267
TrainController,HYBRID,115,LAG_NORMALIZED_INVERTED,188,0.8113377926421405
TrainController,HYBRID,92,LAG_NORMALIZED_INVERTED,158,0.8001605351170569
TrainController,HYBRID,91,LAG_NORMALIZED_INVERTED,157,1.0
TrainController,HYBRID,90,LAG_NORMALIZED_INVERTED,156,1.0
TrainController,HYBRID,110,LAG_NORMALIZED_INVERTED,183,0.999
TrainController,HYBRID,111,LAG_NORMALIZED_INVERTED,184,0.8249163879598662
TrainController,HYBRID,113,LAG_NORMALIZED_INVERTED,186,0.8454113712374582
TrainController,HYBRID,75,LAG_NORMALIZED_INVERTED,127,0.8444147157190636
TrainController,HYBRID,74,LAG_NORMALIZED_INVERTED,125,0.7917658862876255
TrainController,HYBRID,73,LAG_NORMALIZED_INVERTED,122,1.0
TrainController,HYBRID,85,LAG_NORMALIZED_INVERTED,150,0.8157591973244147
TrainController,HYBRID,72,LAG_NORMALIZED_INVERTED,121,0.835076923076923
TrainController,HYBRID,70,LAG_NORMALIZED_INVERTED,119,0.8060802675585284
TrainController,HYBRID,69,LAG_NORMALIZED_INVERTED,118,0.8160133779264214
TrainController,HYBRID,68,LAG_NORMALIZED_INVERTED,117,0.7945752508361204
TrainController,HYBRID,67,LAG_NORMALIZED_INVERTED,116,0.8062541806020067
TrainController,HYBRID,66,LAG_NORMALIZED_INVERTED,115,0.8106688963210702
TrainController,HYBRID,65,LAG_NORMALIZED_INVERTED,114,0.47366666666666657
TrainController,HYBRID,64,LAG_NORMALIZED_INVERTED,112,0.8029364548494984
TrainController,HYBRID,63,LAG_NORMALIZED_INVERTED,104,0.9023333333333333
TrainController,HYBRID,62,LAG_NORMALIZED_INVERTED,100,0.7814581939799331
TrainController,HYBRID,61,LAG_NORMALIZED_INVERTED,98,0.84
TrainController,HYBRID,60,LAG_NORMALIZED_INVERTED,97,0.8221939799331104
TrainController,HYBRID,71,LAG_NORMALIZED_INVERTED,120,0.8193511705685619
TrainController,HYBRID,116,LAG_NORMALIZED_INVERTED,189,0.8191170568561873
TrainController,HYBRID,86,LAG_NORMALIZED_INVERTED,151,0.8265685618729097
TrainController,HYBRID,88,LAG_NORMALIZED_INVERTED,153,0.8067290969899665
TrainController,HYBRID,114,LAG_NORMALIZED_INVERTED,187,0.8350033444816054
TrainController,HYBRID,112,LAG_NORMALIZED_INVERTED,185,0.8372909698996656
TrainController,HYBRID,4,LAG_NORMALIZED_INVERTED,6,0.8279063545150501
TrainController,HYBRID,93,LAG_NORMALIZED_INVERTED,159,1.0
TrainController,HYBRID,94,LAG_NORMALIZED_INVERTED,161,0.8351505016722408
TrainController,HYBRID,95,LAG_NORMALIZED_INVERTED,162,0.8217257525083612
TrainController,HYBRID,96,LAG_NORMALIZED_INVERTED,163,0.8235183946488294
TrainController,HYBRID,84,LAG_NORMALIZED_INVERTED,149,0.8249163879598662
TrainController,HYBRID,83,LAG_NORMALIZED_INVERTED,148,1.0
TrainController,HYBRID,82,LAG_NORMALIZED_INVERTED,147,0.8129565217391305
TrainController,HYBRID,81,LAG_NORMALIZED_INVERTED,146,0.7866220735785954
TrainController,HYBRID,80,LAG_NORMALIZED_INVERTED,141,0.7972240802675585
TrainController,HYBRID,128,LAG_NORMALIZED_INVERTED,201,0.8066421404682275
TrainController,HYBRID,129,LAG_NORMALIZED_INVERTED,202,0.8177859531772576
TrainController,HYBRID,130,LAG_NORMALIZED_INVERTED,203,1.0
TrainController,HYBRID,56,LAG_NORMALIZED_INVERTED,92,0.807705685618729
TrainController,HYBRID,57,LAG_NORMALIZED_INVERTED,93,0.5781367521367522
TrainController,HYBRID,58,LAG_NORMALIZED_INVERTED,94,0.30399999999999994
TrainController,HYBRID,133,LAG_NORMALIZED_INVERTED,210,0.974
TrainController,HYBRID,132,LAG_NORMALIZED_INVERTED,205,1.0
TrainController,HYBRID,79,LAG_NORMALIZED_INVERTED,139,0.7981070234113712
TrainController,HYBRID,117,LAG_NORMALIZED_INVERTED,190,0.8400334448160535
TrainController,HYBRID,78,LAG_NORMALIZED_INVERTED,137,0.716
TrainController,HYBRID,76,LAG_NORMALIZED_INVERTED,134,0.744494983277592
TrainController,HYBRID,109,LAG_NORMALIZED_INVERTED,182,0.8297123745819398
TrainController,HYBRID,108,LAG_NORMALIZED_INVERTED,181,0.877
TrainController,HYBRID,107,LAG_NORMALIZED_INVERTED,180,0.992
TrainController,HYBRID,106,LAG_NORMALIZED_INVERTED,178,0.8175117056856187
TrainController,HYBRID,105,LAG_NORMALIZED_INVERTED,177,0.8217591973244147
TrainController,HYBRID,104,LAG_NORMALIZED_INVERTED,176,0.8375785953177257
TrainController,HYBRID,103,LAG_NORMALIZED_INVERTED,171,0.9993333333333333
TrainController,HYBRID,87,LAG_NORMALIZED_INVERTED,152,0.80638127090301
TrainController,HYBRID,102,LAG_NORMALIZED_INVERTED,170,1.0
TrainController,HYBRID,100,LAG_NORMALIZED_INVERTED,168,0.9778461538461538
TrainController,HYBRID,99,LAG_NORMALIZED_INVERTED,167,0.827705685618729
TrainController,HYBRID,98,LAG_NORMALIZED_INVERTED,165,0.8327892976588629
TrainController,HYBRID,97,LAG_NORMALIZED_INVERTED,164,0.8288026755852843
TrainController,HYBRID,77,LAG_NORMALIZED_INVERTED,135,0.7637859531772575
TrainController,HYBRID,2,AUC,4,0.5681686886192953
TrainController,HYBRID,17,AUC,37,0.6565311602053794
TrainController,HYBRID,26,AUC,48,0.6031607706439305
TrainController,HYBRID,83,AUC,148,1.0
TrainController,HYBRID,82,AUC,147,0.6706981016533986
TrainController,HYBRID,81,AUC,146,0.624334636582034
TrainController,HYBRID,80,AUC,141,0.6430001413161242
TrainController,HYBRID,79,AUC,139,0.6445546186819916
TrainController,HYBRID,78,AUC,137,0.7551724137931034
TrainController,HYBRID,118,AUC,191,0.6778463422676526
TrainController,HYBRID,27,AP,49,0.2746743043427871
TrainController,HYBRID,108,AUC,181,0.8941480206540448
TrainController,HYBRID,106,AUC,178,0.678717791700033
TrainController,HYBRID,105,AUC,177,0.6861957699373498
TrainController,HYBRID,104,AUC,176,0.714046822742475
TrainController,HYBRID,103,AUC,171,0.9994252873563219
TrainController,HYBRID,115,AUC,188,0.6678482264826417
TrainController,HYBRID,101,AUC,169,0.701634556502897
TrainController,HYBRID,102,AUC,170,0.9999999999999999
TrainController,HYBRID,91,AUC,157,1.0
TrainController,HYBRID,92,AUC,158,0.6481699561920015
TrainController,HYBRID,93,AUC,159,1.0
TrainController,HYBRID,94,AUC,161,0.7097720099863394
TrainController,HYBRID,95,AUC,162,0.6861368882189458
TrainController,HYBRID,107,AUC,180,0.9931153184165232
TrainController,HYBRID,90,AUC,156,1.0
TrainController,HYBRID,98,AUC,165,0.7056149606670121
TrainController,HYBRID,99,AUC,167,0.6966649394695935
TrainController,HYBRID,100,AUC,168,0.9805668016194332
TrainController,HYBRID,96,AP,163,0.6781459054972816
TrainController,HYBRID,97,AUC,164,0.698596259833247
TrainController,HYBRID,14,AP,34,0.5949859530599284
TrainController,HYBRID,84,AUC,149,0.6917542041546939
TrainController,HYBRID,11,AP,27,0.5862174058905729
TrainController,HYBRID,85,AUC,150,0.6756323896556597
TrainController,HYBRID,116,AUC,189,0.6815441141834282
TrainController,HYBRID,61,AUC,98,0.8625429553264604
TrainController,HYBRID,117,AUC,190,0.7183687408733337
TrainController,HYBRID,72,AUC,121,0.7096424702058505
TrainController,HYBRID,88,AUC,153,0.6597343256865609
TrainController,HYBRID,75,AUC,127,0.7260822459842668
TrainController,HYBRID,60,AUC,97,0.6869612322766028
TrainController,HYBRID,89,AUC,155,0.9999999999999999
TrainController,HYBRID,114,AUC,187,0.7095129304253616
TrainController,HYBRID,113,AUC,186,0.727836921192708
TrainController,HYBRID,112,AUC,185,0.7135404399642
TrainController,HYBRID,111,AUC,184,0.6917542041546941
TrainController,HYBRID,110,AUC,183,0.9991394148020655
TrainController,HYBRID,87,AUC,152,0.6591219558151584
TrainController,HYBRID,74,AUC,125,0.6333906448725799
TrainController,HYBRID,76,AUC,134,0.5501672240802676
TrainController,HYBRID,77,AUC,135,0.5841301992557352
