dataset,ap,auc,lag,percent,iteration
WARC,0.5125653827186982,0.8587341245055173,226.16666666666663,0.4,2
WARC,0.510946153458044,0.8649108196266224,216.27777777777777,0.4,1
WARC,0.4808176529316067,0.8292178499548895,273.4222222222222,0.4,0
WARC,0.411247801623056,0.8464987160802275,245.7555555555556,0.3,99
WARC,0.3307583965481283,0.8403775418141439,255.55555555555557,0.3,98
WARC,0.4908823424700335,0.8692345062113958,209.35555555555555,0.3,97
WARC,0.4933308372641202,0.8714136997709766,205.86666666666667,0.4,72
WARC,0.4350197104243102,0.855958081754459,230.61111111111111,0.3,96
WARC,0.4342084255180155,0.8664168228190714,213.86666666666667,0.3,94
WARC,0.5092004680210048,0.8691651051426191,209.46666666666667,0.3,93
WARC,0.5071066599896743,0.8698868762578944,208.3111111111111,0.3,92
WARC,0.5072578846755689,0.8530848775071136,235.2111111111111,0.3,91
WARC,0.3893113723707812,0.8636754806024013,218.2555555555556,0.3,90
WARC,0.5055986513759579,0.8533555416753418,234.77777777777777,0.3,89
WARC,0.3915481304956335,0.8496842251370672,240.6555555555556,0.3,88
WARC,0.4996090326847098,0.8585536817266987,226.45555555555555,0.3,87
WARC,0.3618972062258997,0.8614685266153099,221.7888888888889,0.3,86
WARC,0.3759311730745115,0.84684572142411,245.2,0.3,85
WARC,0.4787858280263662,0.8578874314664446,227.5222222222222,0.3,84
WARC,0.3561302972661269,0.8533486015684641,234.7888888888889,0.3,83
WARC,0.41062572489495,0.8557498785481296,230.94444444444449,0.3,82
WARC,0.5077672230847905,0.8586230827954751,226.34444444444443,0.3,95
WARC,0.4333490416336105,0.8611839822333265,222.24444444444444,0.3,50
WARC,0.4668142201599543,0.8691998056770074,209.4111111111111,0.4,73
WARC,0.5017913539648536,0.8715316815878965,205.67777777777775,0.4,75
WARC,0.4870554250357833,0.8675897008813935,211.98888888888888,0.5,65
WARC,0.4885273896590536,0.8613574849052675,221.96666666666667,0.5,64
WARC,0.4409970532807247,0.8581511555277952,227.1,0.5,63
WARC,0.5071487878627953,0.8679436463321536,211.42222222222225,0.5,62
WARC,0.398158953639206,0.8494760219307376,240.98888888888888,0.5,61
WARC,0.5066036749889752,0.8773058505100979,196.4333333333333,0.5,60
WARC,0.4715063616985305,0.8626067041432438,219.96666666666667,0.5,59
WARC,0.4922716253429282,0.8620445554861546,220.86666666666667,0.5,58
WARC,0.4742389376195004,0.8322576167672981,268.55555555555554,0.5,57
WARC,0.4926028112381786,0.8641404677632035,217.51111111111112,0.5,56
WARC,0.4789516510656399,0.8587410646123951,226.1555555555556,0.5,55
WARC,0.4694730736137146,0.8719411478936775,205.0222222222222,0.5,54
WARC,0.3821360980261374,0.8523769866055938,236.34444444444443,0.5,53
WARC,0.509548851162126,0.8683184121035464,210.82222222222225,0.5,52
WARC,0.4636632221516892,0.8580401138177528,227.27777777777777,0.5,51
WARC,0.4687007283903079,0.8652508848636268,215.7333333333333,0.5,50
WARC,0.4900626241667059,0.8455271011173572,247.3111111111111,0.5,49
WARC,0.4912791573644461,0.8589076271774585,225.88888888888889,0.5,48
WARC,0.5089424003327586,0.8691442848219862,209.5,0.5,47
WARC,0.4153374094171592,0.8397598723020334,256.5444444444444,0.5,46
WARC,0.479309584676182,0.8533416614615865,234.8,0.5,45
WARC,0.501080323649039,0.8599486432091055,224.22222222222223,0.5,44
WARC,0.4658837042225192,0.8654590880699563,215.4,0.5,43
WARC,0.3869902405961388,0.8660906377958221,214.38888888888889,0.5,42
WARC,0.4807703121973806,0.8605663127212159,223.2333333333333,0.5,41
WARC,0.4178699808781851,0.8579498924283434,227.42222222222225,0.5,40
WARC,0.4952216351765097,0.8583107779859811,226.84444444444443,0.5,39
WARC,0.4864161329242371,0.8550142272190991,232.12222222222223,0.5,66
WARC,0.4932676113971893,0.8689222014019016,209.85555555555555,0.5,38
WARC,0.3963120564655909,0.854785203692137,232.48888888888888,0.5,67
WARC,0.5077528975151553,0.8594905961551809,224.95555555555555,0.5,69
WARC,0.4970306833493782,0.8594003747657714,225.1,0.5,96
WARC,0.4967215659688201,0.8555000347005344,231.34444444444443,0.5,95
