,family,type,percentile,original_group
363,hybrid,links,0.8,high
364,hybrid,links,0.72,high
365,hybrid,links,0.64,high
366,hybrid,links,0.56,high
367,hybrid,links,0.84,high
368,hybrid,links,0.6,high
369,hybrid,links,0.48,medium
370,hybrid,links,0.36,low
371,hybrid,links,0.52,medium
372,hybrid,links,0.96,high
373,hybrid,links,0.4,medium
374,hybrid,links,0.92,high
375,direct,links,0.0,low
376,direct,links,0.0,low
377,direct,non-links,0.8979591836734694,high
378,direct,non-links,0.8979591836734694,high
379,direct,non-links,0.061224489795918324,low
380,direct,non-links,0.8979591836734694,high
381,direct,non-links,0.22448979591836737,low
382,direct,non-links,0.7142857142857143,high
383,direct,non-links,0.7959183673469388,high
384,direct,non-links,0.7551020408163265,high
385,direct,non-links,0.5918367346938775,medium
386,direct,non-links,0.6734693877551021,high
387,direct,non-links,0.4693877551020408,medium
388,direct,non-links,0.34693877551020413,medium
389,direct,non-links,0.1428571428571429,low
390,direct,non-links,0.18367346938775508,low
391,direct,non-links,0.26530612244897955,low
392,direct,non-links,0.4285714285714286,medium
393,direct,non-links,0.8979591836734694,high
394,direct,non-links,0.5102040816326531,medium
395,direct,non-links,0.6326530612244898,medium
396,direct,non-links,0.3877551020408163,medium
397,direct,non-links,0.30612244897959184,low
398,direct,non-links,0.5510204081632653,medium
399,direct,non-links,0.10204081632653061,low
400,transitive,links,0.040000000000000036,low
401,transitive,links,0.07999999999999996,low
402,transitive,non-links,0.64,high
403,transitive,non-links,0.56,high
404,transitive,non-links,0.0,low
405,transitive,non-links,0.88,high
406,transitive,non-links,0.31999999999999995,low
407,transitive,non-links,0.6799999999999999,high
408,transitive,non-links,0.72,high
409,transitive,non-links,0.6,high
410,transitive,non-links,0.4,medium
411,transitive,non-links,0.48,high
412,transitive,non-links,0.36,medium
413,transitive,non-links,0.19999999999999996,medium
414,transitive,non-links,0.16000000000000003,low
415,transitive,non-links,0.24,low
416,transitive,non-links,0.12,low
417,transitive,non-links,0.28,medium
418,transitive,non-links,0.96,high
419,transitive,non-links,0.43999999999999995,medium
420,transitive,non-links,0.84,medium
421,transitive,non-links,0.52,medium
422,transitive,non-links,0.8,low
423,transitive,non-links,0.76,medium
424,transitive,non-links,0.92,low
425,hybrid,links,0.040000000000000036,low
426,hybrid,links,0.0,low
427,hybrid,non-links,0.96,high
428,hybrid,non-links,0.92,high
429,hybrid,non-links,0.07999999999999996,low
430,hybrid,non-links,0.88,high
431,hybrid,non-links,0.24,low
432,hybrid,non-links,0.72,high
433,hybrid,non-links,0.76,high
434,hybrid,non-links,0.6799999999999999,high
435,hybrid,non-links,0.6,medium
436,hybrid,non-links,0.64,high
437,hybrid,non-links,0.43999999999999995,medium
438,hybrid,non-links,0.28,medium
439,hybrid,non-links,0.12,low
440,hybrid,non-links,0.16000000000000003,low
441,hybrid,non-links,0.19999999999999996,low
442,hybrid,non-links,0.4,medium
443,hybrid,non-links,0.84,high
444,hybrid,non-links,0.56,medium
445,hybrid,non-links,0.8,medium
446,hybrid,non-links,0.48,medium
447,hybrid,non-links,0.36,low
448,hybrid,non-links,0.52,medium
449,hybrid,non-links,0.31999999999999995,low
450,direct,non-links,0.07999999999999996,low
451,direct,non-links,0.040000000000000036,low
452,direct,links,0.5800000000000001,medium
453,direct,links,0.5800000000000001,medium
454,direct,links,0.5800000000000001,medium
455,direct,non-links,0.5800000000000001,medium
456,direct,links,0.5800000000000001,medium
457,direct,links,0.5800000000000001,medium
458,direct,links,0.5800000000000001,medium
459,direct,links,0.5800000000000001,medium
460,direct,non-links,0.5800000000000001,medium
461,direct,links,0.5800000000000001,medium
462,direct,links,0.5800000000000001,medium
463,direct,links,0.5800000000000001,medium
464,direct,links,0.5800000000000001,medium
465,direct,links,0.5800000000000001,medium
466,direct,links,0.5800000000000001,medium
467,direct,links,0.5800000000000001,medium
468,direct,links,0.5800000000000001,medium
469,direct,links,0.5800000000000001,medium
470,direct,links,0.5800000000000001,medium
471,direct,links,0.16000000000000003,low
472,direct,links,0.0,low
473,direct,links,0.5800000000000001,medium
474,direct,links,0.12,low
475,transitive,non-links,0.040000000000000036,low
476,transitive,non-links,0.0,low
477,transitive,links,0.54,medium
478,transitive,links,0.07999999999999996,medium
479,transitive,links,0.54,medium
480,transitive,non-links,0.54,medium
481,transitive,links,0.54,medium
482,transitive,links,0.54,medium
483,transitive,links,0.54,medium
484,transitive,links,0.54,medium
485,transitive,non-links,0.54,medium
486,transitive,links,0.54,medium
487,transitive,links,0.54,medium
488,transitive,links,0.54,medium
489,transitive,links,0.54,medium
490,transitive,links,0.54,medium
491,transitive,links,0.54,medium
492,transitive,links,0.54,medium
493,transitive,links,0.54,medium
494,transitive,links,0.54,medium
495,transitive,links,0.54,medium
496,transitive,links,0.54,low
497,transitive,links,0.54,low
498,transitive,links,0.54,medium
499,transitive,links,0.54,low
500,hybrid,non-links,0.0,low
501,hybrid,non-links,0.040000000000000036,low
502,hybrid,links,0.56,medium
503,hybrid,links,0.56,medium
504,hybrid,links,0.56,medium
505,hybrid,non-links,0.56,medium
506,hybrid,links,0.56,medium
507,hybrid,links,0.56,medium
508,hybrid,links,0.56,medium
509,hybrid,links,0.56,medium
510,hybrid,non-links,0.56,medium
511,hybrid,links,0.56,medium
512,hybrid,links,0.56,medium
513,hybrid,links,0.56,medium
514,hybrid,links,0.56,medium
515,hybrid,links,0.56,medium
516,hybrid,links,0.56,medium
517,hybrid,links,0.56,medium
518,hybrid,links,0.56,medium
519,hybrid,links,0.56,medium
520,hybrid,links,0.56,medium
521,hybrid,links,0.56,low
522,hybrid,links,0.07999999999999996,low
523,hybrid,links,0.56,medium
524,hybrid,links,0.12,low
525,direct,non-links,0.7,high
526,direct,non-links,0.7,high
527,direct,links,0.7,high
528,direct,links,0.7,high
529,direct,links,0.0,low
530,direct,non-links,0.7,high
531,direct,links,0.7,high
532,direct,links,0.7,high
533,direct,links,0.7,high
534,direct,links,0.7,high
535,direct,non-links,0.28,low
536,direct,links,0.7,high
537,direct,links,0.19999999999999996,low
538,direct,links,0.4,medium
539,direct,links,0.31999999999999995,low
540,direct,links,0.24,low
541,direct,links,0.040000000000000036,low
542,direct,links,0.36,medium
543,direct,links,0.7,high
544,direct,links,0.7,high
545,direct,links,0.7,high
546,direct,links,0.7,high
547,direct,links,0.16000000000000003,low
548,direct,links,0.12,low
