technique_type,query_index,ap,auc,lag,query_id
TRANSITIVE,18,0.8754251700680272,0.9607142857142857,1.5714285714285714,18
TRANSITIVE,19,0.6818995330426492,0.7254901960784313,8.235294117647058,19
TRANSITIVE,20,0.8571428571428571,0.9324324324324325,2.5,20
TRANSITIVE,22,0.702406592188536,0.7862745098039216,6.411764705882353,22
TRANSITIVE,29,0.6458980173425949,0.719607843137255,8.411764705882353,29
TRANSITIVE,24,0.8993181818181818,0.9594594594594594,1.5,24
TRANSITIVE,25,0.6802814634061813,0.7294117647058823,8.117647058823529,25
TRANSITIVE,26,0.7260201868695609,0.7549019607843138,7.352941176470588,26
TRANSITIVE,27,0.41138821377368423,0.5313725490196078,14.058823529411764,27
TRANSITIVE,28,0.6908899980613692,0.7137254901960784,8.588235294117647,28
TRANSITIVE,16,0.8962585034013604,0.975,1.0,16
TRANSITIVE,23,0.6628679170603529,0.7450980392156863,7.647058823529412,23
TRANSITIVE,15,1.0,1.0,0.0,15
TRANSITIVE,14,0.9821428571428572,0.9964285714285714,0.14285714285714285,14
TRANSITIVE,13,0.9821428571428572,0.9964285714285714,0.14285714285714285,13
TRANSITIVE,1,0.6684351977011025,0.7705882352941177,6.882352941176471,1
TRANSITIVE,2,0.4743657661273671,0.6215686274509804,11.352941176470589,2
TRANSITIVE,3,0.911024531024531,0.972972972972973,1.0,3
TRANSITIVE,4,0.6743482680514338,0.7725490196078432,6.823529411764706,4
TRANSITIVE,5,0.47925789719939327,0.5882352941176471,12.352941176470589,5
TRANSITIVE,6,0.8940508021390375,0.9621621621621621,1.4,6
TRANSITIVE,0,0.6564554098687283,0.7568627450980392,7.294117647058823,0
TRANSITIVE,8,0.8984194890077242,0.9648648648648648,1.3,8
TRANSITIVE,9,0.9614285714285714,0.9864864864864865,0.5,9
TRANSITIVE,10,0.9651515151515152,0.9891891891891892,0.4,10
TRANSITIVE,11,0.9540404040404039,0.9864864864864865,0.5,11
TRANSITIVE,12,0.9571428571428571,0.9892857142857143,0.42857142857142855,12
TRANSITIVE,7,0.8773155929038282,0.9594594594594594,1.5,7
HYBRID,16,0.9038342609771179,0.9785714285714286,0.8571428571428571,16
HYBRID,17,0.8529251700680271,0.9285714285714286,2.857142857142857,17
HYBRID,18,0.8376190476190475,0.925,3.0,18
HYBRID,19,0.676418255110265,0.6980392156862745,9.058823529411764,19
HYBRID,20,0.8578619909502262,0.9486486486486486,1.9,20
HYBRID,21,0.5676056598725028,0.6509803921568628,10.470588235294118,21
HYBRID,24,0.8891558441558441,0.9648648648648649,1.3,24
HYBRID,23,0.5866299209754914,0.6490196078431372,10.529411764705882,23
HYBRID,25,0.6879248822474694,0.7235294117647059,8.294117647058824,25
HYBRID,26,0.6110112517077105,0.7039215686274509,8.882352941176471,26
HYBRID,27,0.5933181311306257,0.6294117647058823,11.117647058823529,27
HYBRID,15,1.0,1.0,0.0,15
HYBRID,22,0.736581978958618,0.8137254901960785,5.588235294117647,22
HYBRID,14,0.9379251700680272,0.9892857142857142,0.42857142857142855,14
HYBRID,7,0.7466951871657753,0.8513513513513513,5.5,7
HYBRID,12,0.8885281385281385,0.9750000000000001,1.0,12
HYBRID,11,0.9733333333333333,0.9918918918918919,0.3,11
HYBRID,10,0.9651515151515152,0.9891891891891892,0.4,10
HYBRID,9,0.9416666666666667,0.9621621621621621,1.4,9
HYBRID,8,0.8969372294372294,0.9567567567567568,1.6,8
HYBRID,28,0.7319367873575578,0.7254901960784315,8.235294117647058,28
HYBRID,6,0.7917982017982017,0.8972972972972972,3.8,6
HYBRID,5,0.528970417592773,0.611764705882353,11.647058823529411,5
HYBRID,4,0.7261628822387337,0.8058823529411763,5.823529411764706,4
HYBRID,3,0.7463149350649352,0.8972972972972972,3.8,3
HYBRID,2,0.5784967905415,0.7176470588235294,8.470588235294118,2
HYBRID,1,0.7233858547515906,0.7941176470588236,6.176470588235294,1
HYBRID,0,0.656520058972827,0.696078431372549,9.117647058823529,0
HYBRID,13,0.8801587301587301,0.9785714285714285,0.8571428571428571,13
HYBRID,29,0.5839582833587875,0.6509803921568628,10.470588235294118,29
